region,county,district_name,total_enrollment,tea_description,bill_category,average_base_pay,alice_threshold_hh_under_65,difference
10,COLLIN COUNTY,PROSPER ISD,28467,Other Central City Suburban,over 5000,64290,73382.3164199047,-9092
10,COLLIN COUNTY,WYLIE ISD,24738,Other Central City Suburban,over 5000,65546,73382.3164199047,-7836
16,COLLINGSWORTH COUNTY,WELLINGTON ISD,544,Rural,under 1600,52236,60000,-7764
04,COLORADO COUNTY,COLUMBUS ISD,1636,Non-metropolitan Stable,under 5000,58459,50000,8459
03,COLORADO COUNTY,RICE CISD,1315,Non-metropolitan Stable,under 1600,55796,50000,5796
03,COLORADO COUNTY,WEIMAR ISD,722,Rural,under 1600,53796,50000,3796
20,COMAL COUNTY,COMAL ISD,29263,Major Suburban,over 5000,59525,60000,-475
20,COMAL COUNTY,NEW BRAUNFELS ISD,9779,Other Central City Suburban,over 5000,60448,60000,448
14,COMANCHE COUNTY,COMANCHE ISD,1364,Non-metropolitan Stable,under 1600,54640,50000,4640
14,COMANCHE COUNTY,DE LEON ISD,664,Rural,under 1600,55609,50000,5609
14,COMANCHE COUNTY,GUSTINE ISD,129,Rural,under 300,49502,50000,-498
14,COMANCHE COUNTY,SIDNEY ISD,152,Rural,under 300,47036,50000,-2964
15,CONCHO COUNTY,EDEN CISD,221,Rural,under 300,54068,50000,4068
15,CONCHO COUNTY,PAINT ROCK ISD,231,Rural,under 300,50839,50000,839
11,COOKE COUNTY,CALLISBURG ISD,1191,Non-metropolitan Stable,under 1600,58942,50000,8942
11,COOKE COUNTY,ERA ISD,509,Rural,under 1600,56931,50000,6931
11,COOKE COUNTY,GAINESVILLE ISD,3088,Independent Town,under 5000,57714,50000,7714
11,COOKE COUNTY,LINDSAY ISD,484,Rural,under 1600,55413,50000,5413
11,COOKE COUNTY,MUENSTER ISD,565,Rural,under 1600,56380,50000,6380
11,COOKE COUNTY,SIVELLS BEND ISD,74,Rural,under 300,55409,50000,5409
11,COOKE COUNTY,VALLEY VIEW ISD,4445,Non-metropolitan Stable,under 5000,56041,50000,6041
11,COOKE COUNTY,WALNUT BEND ISD,64,Rural,under 300,56322,50000,6322
12,CORYELL COUNTY,COPPERAS COVE ISD,7959,Other Central City Suburban,over 5000,61420,45000,16420
12,CORYELL COUNTY,EVANT ISD,204,Rural,under 300,48506,45000,3506
12,CORYELL COUNTY,GATESVILLE ISD,2695,Other Central City Suburban,under 5000,52674,45000,7674
12,CORYELL COUNTY,JONESBORO ISD,319,Rural,under 1600,48547,45000,3547
12,CORYELL COUNTY,OGLESBY ISD,204,Rural,under 300,50486,45000,5486
17,COTTLE COUNTY,PADUCAH ISD,161,Rural,under 300,53000,45000,8000
15,CRANE COUNTY,CRANE ISD,1211,Other Central City Suburban,under 1600,69097,50000,19097
15,CROCKETT COUNTY,CROCKETT COUNTY CONSOLIDATED CSD,651,Rural,under 1600,54219,40000,14219
17,CROSBY COUNTY,CROSBYTON CISD,319,Rural,under 1600,49409,50000,-591
17,CROSBY COUNTY,LORENZO ISD,215,Rural,under 300,50197,50000,197
17,CROSBY COUNTY,RALLS ISD,441,Rural,under 1600,50894,50000,894
18,CULBERSON COUNTY,CULBERSON COUNTY-ALLAMOORE ISD,393,Rural,under 1600,56146,60000,-3854
16,DALLAM COUNTY,DALHART ISD,1788,Non-metropolitan Stable,under 5000,49590,50000,-410
16,DALLAM COUNTY,TEXLINE ISD,217,Rural,under 300,50012,50000,12
10,DALLAS COUNTY,CARROLLTON-FARMERS BRANCH ISD,24386,Major Suburban,over 5000,63945,60000,3945
10,DALLAS COUNTY,CEDAR HILL ISD,6336,Major Suburban,over 5000,60580,60000,580
10,DALLAS COUNTY,COPPELL ISD,13414,Major Suburban,over 5000,67373,60000,7373
10,DALLAS COUNTY,DALLAS ISD,139246,Major Urban,over 5000,68704,60000,8704
10,DALLAS COUNTY,DESOTO ISD,5995,Major Suburban,over 5000,60187,60000,187
10,DALLAS COUNTY,DUNCANVILLE ISD,11761,Major Suburban,over 5000,60517,60000,517
10,DALLAS COUNTY,GARLAND ISD,51659,Major Suburban,over 5000,66462,60000,6462
10,DALLAS COUNTY,GRAND PRAIRIE ISD,26638,Major Suburban,over 5000,65003,60000,5003
10,DALLAS COUNTY,HIGHLAND PARK ISD,7225,Major Suburban,over 5000,64147,60000,4147
10,DALLAS COUNTY,IRVING ISD,31485,Major Suburban,over 5000,66387,60000,6387
10,DALLAS COUNTY,LANCASTER ISD,7014,Major Suburban,over 5000,61203,60000,1203
10,DALLAS COUNTY,MESQUITE ISD,38265,Major Suburban,over 5000,67423,60000,7423
