region,county,district_name,total_enrollment,tea_description,bill_category,average_base_pay,alice_threshold_hh_under_65,difference
10,GRAYSON COUNTY,DENISON ISD,4940,Other Central City Suburban,under 5000,57755,59319.0931291169,-1564
10,GRAYSON COUNTY,GUNTER ISD,1140,Other Central City Suburban,under 1600,61169,59319.0931291169,1850
10,GRAYSON COUNTY,HOWE ISD,1282,Other Central City Suburban,under 1600,60173,59319.0931291169,854
10,GRAYSON COUNTY,POTTSBORO ISD,1441,Other Central City Suburban,under 1600,61007,59319.0931291169,1688
10,GRAYSON COUNTY,S AND S CISD,955,Other Central City Suburban,under 1600,59482,59319.0931291169,163
10,GRAYSON COUNTY,SHERMAN ISD,7843,Other Central City,over 5000,60527,59319.0931291169,1208
10,GRAYSON COUNTY,TIOGA ISD,688,Rural,under 1600,59590,59319.0931291169,271
10,GRAYSON COUNTY,TOM BEAN ISD,654,Rural,under 1600,56294,59319.0931291169,-3025
10,GRAYSON COUNTY,VAN ALSTYNE ISD,2419,Other Central City Suburban,under 5000,56913,59319.0931291169,-2406
10,GRAYSON COUNTY,WHITESBORO ISD,1773,Other Central City Suburban,under 5000,57346,59319.0931291169,-1973
10,GRAYSON COUNTY,WHITEWRIGHT ISD,794,Rural,under 1600,55805,59319.0931291169,-3514
07,GREGG COUNTY,GLADEWATER ISD,1708,Other Central City Suburban,under 5000,55270,50000,5270
07,GREGG COUNTY,KILGORE ISD,3725,Other Central City Suburban,under 5000,55596,50000,5596
07,GREGG COUNTY,LONGVIEW ISD,8104,Other Central City,over 5000,57593,50000,7593
07,GREGG COUNTY,PINE TREE ISD,4434,Other Central City Suburban,under 5000,54364,50000,4364
07,GREGG COUNTY,SABINE ISD,1580,Other Central City Suburban,under 1600,51847,50000,1847
07,GREGG COUNTY,SPRING HILL ISD,1987,Other Central City Suburban,under 5000,52628,50000,2628
07,GREGG COUNTY,WHITE OAK ISD,1415,Other Central City Suburban,under 1600,55226,50000,5226
06,GRIMES COUNTY,ANDERSON-SHIRO CISD,966,Other Central City Suburban,under 1600,59122,62110.4852634713,-2988
06,GRIMES COUNTY,IOLA ISD,610,Rural,under 1600,56881,62110.4852634713,-5229
06,GRIMES COUNTY,NAVASOTA ISD,3030,Other Central City Suburban,under 5000,60982,62110.4852634713,-1128
06,GRIMES COUNTY,RICHARDS ISD,235,Rural,under 300,57102,62110.4852634713,-5008
20,GUADALUPE COUNTY,MARION ISD,1570,Other Central City Suburban,under 1600,56884,60000,-3116
20,GUADALUPE COUNTY,NAVARRO ISD,2438,Non-metropolitan Stable,under 5000,59178,60000,-822
20,GUADALUPE COUNTY,SCHERTZ-CIBOLO-U CITY ISD,15146,Other Central City,over 5000,62703,60000,2703
20,GUADALUPE COUNTY,SEGUIN ISD,7314,Other Central City Suburban,over 5000,63062,60000,3062
17,HALE COUNTY,ABERNATHY ISD,812,Rural,under 1600,51978,61625.7092836888,-9648
17,HALE COUNTY,COTTON CENTER ISD,105,Rural,under 300,47648,61625.7092836888,-13978
17,HALE COUNTY,HALE CENTER ISD,586,Rural,under 1600,51157,61625.7092836888,-10469
17,HALE COUNTY,PETERSBURG ISD,274,Rural,under 300,52853,61625.7092836888,-8773
17,HALE COUNTY,PLAINVIEW ISD,4277,Independent Town,under 5000,55574,61625.7092836888,-6052
16,HALL COUNTY,MEMPHIS ISD,400,Rural,under 1600,57864,50000,7864
16,HALL COUNTY,TURKEY-QUITAQUE ISD,191,Rural,under 300,48317,50000,-1683
12,HAMILTON COUNTY,HAMILTON ISD,855,Rural,under 1600,56674,50000,6674
12,HAMILTON COUNTY,HICO ISD,643,Rural,under 1600,56934,50000,6934
16,HANSFORD COUNTY,GRUVER ISD,433,Rural,under 1600,51618,60000,-8382
16,HANSFORD COUNTY,PRINGLE-MORSE CISD,119,Rural,under 300,48702,60000,-11298
16,HANSFORD COUNTY,SPEARMAN ISD,724,Rural,under 1600,50209,60000,-9791
09,HARDEMAN COUNTY,CHILLICOTHE ISD,196,Rural,under 300,51382,50000,1382
09,HARDEMAN COUNTY,QUANAH ISD,469,Rural,under 1600,48664,50000,-1336
05,HARDIN COUNTY,HARDIN-JEFFERSON ISD,2754,Other Central City Suburban,under 5000,55775,50000,5775
05,HARDIN COUNTY,KOUNTZE ISD,1143,Non-metropolitan Stable,under 1600,53451,50000,3451
05,HARDIN COUNTY,LUMBERTON ISD,4197,Other Central City Suburban,under 5000,52407,50000,2407
05,HARDIN COUNTY,SILSBEE ISD,2654,Non-metropolitan Stable,under 5000,53390,50000,3390
05,HARDIN COUNTY,WEST HARDIN COUNTY CISD,541,Rural,under 1600,63168,50000,13168
04,HARRIS COUNTY,ALDINE ISD,57844,Major Suburban,over 5000,65585,64763.1881318349,822
04,HARRIS COUNTY,ALIEF ISD,39474,Major Suburban,over 5000,65242,64763.1881318349,479
04,HARRIS COUNTY,CHANNELVIEW ISD,9434,Major Suburban,over 5000,69657,64763.1881318349,4894
04,HARRIS COUNTY,CROSBY ISD,6868,Major Suburban,over 5000,70970,64763.1881318349,6207
04,HARRIS COUNTY,CYPRESS-FAIRBANKS ISD,118470,Major Suburban,over 5000,66873,64763.1881318349,2110
04,HARRIS COUNTY,DEER PARK ISD,12122,Major Suburban,over 5000,69209,64763.1881318349,4446
04,HARRIS COUNTY,GALENA PARK ISD,21105,Major Suburban,over 5000,67460,64763.1881318349,2697
04,HARRIS COUNTY,GOOSE CREEK CISD,24108,Major Suburban,over 5000,64781,64763.1881318349,18
04,HARRIS COUNTY,HOUSTON ISD,184109,Major Urban,over 5000,67074,64763.1881318349,2311
04,HARRIS COUNTY,HUFFMAN ISD,3679,Other Central City Suburban,under 5000,63498,64763.1881318349,-1265
04,HARRIS COUNTY,HUMBLE ISD,48552,Major Suburban,over 5000,67674,64763.1881318349,2911
04,HARRIS COUNTY,KATY ISD,94785,Major Suburban,over 5000,66897,64763.1881318349,2134
04,HARRIS COUNTY,KLEIN ISD,53093,Major Suburban,over 5000,67038,64763.1881318349,2275
04,HARRIS COUNTY,LA PORTE ISD,7115,Major Suburban,over 5000,67880,64763.1881318349,3117
04,HARRIS COUNTY,PASADENA ISD,47486,Major Suburban,over 5000,67171,64763.1881318349,2408
04,HARRIS COUNTY,SHELDON ISD,11028,Major Suburban,over 5000,67099,64763.1881318349,2336
04,HARRIS COUNTY,SPRING BRANCH ISD,33407,Major Suburban,over 5000,67562,64763.1881318349,2799
04,HARRIS COUNTY,SPRING ISD,33935,Major Suburban,over 5000,66075,64763.1881318349,1312
04,HARRIS COUNTY,TOMBALL ISD,22273,Major Suburban,over 5000,67815,64763.1881318349,3052
07,HARRISON COUNTY,ELYSIAN FIELDS ISD,797,Rural,under 1600,52447,50000,2447
07,HARRISON COUNTY,HALLSVILLE ISD,21299,Other Central City Suburban,over 5000,54249,50000,4249
07,HARRISON COUNTY,HARLETON ISD,723,Rural,under 1600,55062,50000,5062
07,HARRISON COUNTY,KARNACK ISD,125,Rural,under 300,51745,50000,1745
07,HARRISON COUNTY,MARSHALL ISD,4965,Non-metropolitan Stable,under 5000,53767,50000,3767
07,HARRISON COUNTY,WASKOM ISD,817,Rural,under 1600,50690,50000,690
16,HARTLEY COUNTY,CHANNING ISD,128,Rural,under 300,55264,50000,5264
16,HARTLEY COUNTY,HARTLEY ISD,243,Rural,under 300,44243,50000,-5757
14,HASKELL COUNTY,HASKELL CISD,534,Rural,under 1600,56773,50000,6773
14,HASKELL COUNTY,PAINT CREEK ISD,104,Rural,under 300,51395,50000,1395
14,HASKELL COUNTY,RULE ISD,130,Rural,under 300,46687,50000,-3313
13,HAYS COUNTY,DRIPPING SPRINGS ISD,8538,Major Suburban,over 5000,60069,60000,69
13,HAYS COUNTY,HAYS CISD,23313,Major Suburban,over 5000,64120,60000,4120
13,HAYS COUNTY,SAN MARCOS CISD,8311,Other Central City Suburban,over 5000,58460,60000,-1540
13,HAYS COUNTY,WIMBERLEY ISD,2700,Non-metropolitan Stable,under 5000,60444,60000,444
16,HEMPHILL COUNTY,CANADIAN ISD,795,Rural,under 1600,58378,50000,8378
10,HENDERSON COUNTY,ATHENS ISD,3008,Independent Town,under 5000,62795,58171.3558547611,4624
07,HENDERSON COUNTY,BROWNSBORO ISD,2592,Other Central City Suburban,under 5000,53266,58171.3558547611,-4905
07,HENDERSON COUNTY,CROSS ROADS ISD,562,Rural,under 1600,49846,58171.3558547611,-8325
07,HENDERSON COUNTY,EUSTACE ISD,1711,Non-metropolitan Stable,under 5000,62449,58171.3558547611,4278
07,HENDERSON COUNTY,LAPOYNOR ISD,493,Rural,under 1600,49074,58171.3558547611,-9097
07,HENDERSON COUNTY,MALAKOFF ISD,1441,Non-metropolitan Stable,under 1600,60010,58171.3558547611,1839
07,HENDERSON COUNTY,MURCHISON ISD,170,Rural,under 300,51641,58171.3558547611,-6530
07,HENDERSON COUNTY,TRINIDAD ISD,156,Rural,under 300,49219,58171.3558547611,-8952
01,HIDALGO COUNTY,DONNA ISD,13131,Other Central City Suburban,over 5000,61564,50000,11564
01,HIDALGO COUNTY,EDCOUCH-ELSA ISD,4398,Other Central City Suburban,under 5000,56170,50000,6170
01,HIDALGO COUNTY,EDINBURG CISD,33810,Other Central City,over 5000,65649,50000,15649
01,HIDALGO COUNTY,HIDALGO ISD,3019,Other Central City Suburban,under 5000,55874,50000,5874
01,HIDALGO COUNTY,LA JOYA ISD,23998,Other Central City,over 5000,61647,50000,11647
01,HIDALGO COUNTY,LA VILLA ISD,538,Rural,under 1600,57062,50000,7062
01,HIDALGO COUNTY,MCALLEN ISD,20095,Other Central City Suburban,over 5000,59532,50000,9532
01,HIDALGO COUNTY,MERCEDES ISD,4393,Non-metropolitan Stable,under 5000,57722,50000,7722
01,HIDALGO COUNTY,MISSION CISD,14068,Other Central City Suburban,over 5000,65213,50000,15213
01,HIDALGO COUNTY,MONTE ALTO ISD,820,Rural,under 1600,54159,50000,4159
01,HIDALGO COUNTY,PHARR-SAN JUAN-ALAMO ISD,30008,Other Central City,over 5000,63479,50000,13479
01,HIDALGO COUNTY,PROGRESO ISD,1405,Non-metropolitan Stable,under 1600,54099,50000,4099
01,HIDALGO COUNTY,SHARYLAND ISD,9742,Other Central City Suburban,over 5000,59163,50000,9163
01,HIDALGO COUNTY,VALLEY VIEW ISD,4445,Other Central City Suburban,under 5000,60050,50000,10050
01,HIDALGO COUNTY,WESLACO ISD,16430,Other Central City Suburban,over 5000,65349,50000,15349
12,HILL COUNTY,ABBOTT ISD,284,Rural,under 300,54927,60606.4259173247,-5679
12,HILL COUNTY,AQUILLA ISD,321,Rural,under 1600,50501,60606.4259173247,-10105
12,HILL COUNTY,BLUM ISD,331,Rural,under 1600,54572,60606.4259173247,-6034
12,HILL COUNTY,BYNUM ISD,184,Rural,under 300,49299,60606.4259173247,-11307
12,HILL COUNTY,COVINGTON ISD,334,Rural,under 1600,61513,60606.4259173247,907
12,HILL COUNTY,HILLSBORO ISD,1929,Independent Town,under 5000,55636,60606.4259173247,-4970
12,HILL COUNTY,HUBBARD ISD,497,Rural,under 1600,54449,60606.4259173247,-6157
12,HILL COUNTY,ITASCA ISD,656,Rural,under 1600,51072,60606.4259173247,-9534
12,HILL COUNTY,MALONE ISD,91,Rural,under 300,57477,60606.4259173247,-3129
12,HILL COUNTY,MOUNT CALM ISD,159,Rural,under 300,63451,60606.4259173247,2845
12,HILL COUNTY,PENELOPE ISD,212,Rural,under 300,51704,60606.4259173247,-8902
12,HILL COUNTY,WHITNEY ISD,1475,Independent Town,under 1600,54299,60606.4259173247,-6307
17,HOCKLEY COUNTY,ANTON ISD,170,Rural,under 300,45116,56945.0486111111,-11829
17,HOCKLEY COUNTY,LEVELLAND ISD,2617,Non-metropolitan Stable,under 5000,52673,56945.0486111111,-4272
17,HOCKLEY COUNTY,ROPES ISD,576,Non-metropolitan Fast Growing,under 1600,51381,56945.0486111111,-5564
17,HOCKLEY COUNTY,SMYER ISD,434,Rural,under 1600,51757,56945.0486111111,-5188
17,HOCKLEY COUNTY,SUNDOWN ISD,551,Rural,under 1600,55082,56945.0486111111,-1863
17,HOCKLEY COUNTY,WHITHARRAL ISD,213,Rural,under 300,52820,56945.0486111111,-4125
11,HOOD COUNTY,GRANBURY ISD,7933,Other Central City Suburban,over 5000,66272,60000,6272
11,HOOD COUNTY,LIPAN ISD,447,Rural,under 1600,59167,60000,-833
11,HOOD COUNTY,TOLAR ISD,908,Rural,under 1600,54662,60000,-5338
08,HOPKINS COUNTY,COMO-PICKTON CISD,756,Rural,under 1600,57536,50000,7536
08,HOPKINS COUNTY,CUMBY COLLEGIATE ISD,450,Rural,under 1600,56255,50000,6255
08,HOPKINS COUNTY,MILLER GROVE ISD,323,Rural,under 1600,57659,50000,7659
08,HOPKINS COUNTY,NORTH HOPKINS ISD,505,Rural,under 1600,53243,50000,3243
08,HOPKINS COUNTY,SALTILLO ISD,253,Rural,under 300,55686,50000,5686
08,HOPKINS COUNTY,SULPHUR BLUFF ISD,228,Rural,under 300,50630,50000,630
08,HOPKINS COUNTY,SULPHUR SPRINGS ISD,4364,Independent Town,under 5000,54216,50000,4216
06,HOUSTON COUNTY,CROCKETT ISD,1183,Non-metropolitan Stable,under 1600,62413,50000,12413
06,HOUSTON COUNTY,GRAPELAND ISD,598,Non-metropolitan Fast Growing,under 1600,55608,50000,5608
06,HOUSTON COUNTY,KENNARD ISD,267,Rural,under 300,51979,50000,1979
06,HOUSTON COUNTY,LATEXO ISD,497,Rural,under 1600,52791,50000,2791
06,HOUSTON COUNTY,LOVELADY ISD,536,Rural,under 1600,55219,50000,5219
18,HOWARD COUNTY,BIG SPRING ISD,3451,Independent Town,under 5000,50330,61179.2610441767,-10849
18,HOWARD COUNTY,COAHOMA ISD,1096,Non-metropolitan Stable,under 1600,56190,61179.2610441767,-4989
18,HOWARD COUNTY,FORSAN ISD,751,Rural,under 1600,57699,61179.2610441767,-3480
19,HUDSPETH COUNTY,DELL CITY ISD,72,Rural,under 300,58982,60000,-1018
19,HUDSPETH COUNTY,FT HANCOCK ISD,388,Rural,under 1600,58824,60000,-1176
19,HUDSPETH COUNTY,SIERRA BLANCA ISD,99,Rural,under 300,61281,60000,1281
10,HUNT COUNTY,BLAND ISD,794,Rural,under 1600,55236,70919.1348697468,-15683
10,HUNT COUNTY,BOLES ISD,552,Rural,under 1600,69316,70919.1348697468,-1603
10,HUNT COUNTY,CADDO MILLS ISD,2836,Other Central City Suburban,under 5000,61569,70919.1348697468,-9350
10,HUNT COUNTY,CAMPBELL ISD,287,Rural,under 300,54845,70919.1348697468,-16074
10,HUNT COUNTY,CELESTE ISD,524,Rural,under 1600,56978,70919.1348697468,-13941
10,HUNT COUNTY,COMMERCE ISD,1559,Other Central City Suburban,under 1600,59927,70919.1348697468,-10992
10,HUNT COUNTY,GREENVILLE ISD,5418,Other Central City,over 5000,55601,70919.1348697468,-15318
10,HUNT COUNTY,LONE OAK ISD,1146,Other Central City Suburban,under 1600,60713,70919.1348697468,-10206
10,HUNT COUNTY,QUINLAN ISD,2889,Other Central City Suburban,under 5000,70758,70919.1348697468,-161
10,HUNT COUNTY,WOLFE CITY ISD,720,Rural,under 1600,53031,70919.1348697468,-17888
16,HUTCHINSON COUNTY,BORGER ISD,2372,Non-metropolitan Stable,under 5000,53912,65765.8659217877,-11854
16,HUTCHINSON COUNTY,PLEMONS-STINNETT-PHILLIPS CISD,564,Rural,under 1600,53163,65765.8659217877,-12603
16,HUTCHINSON COUNTY,SANFORD-FRITCH ISD,721,Rural,under 1600,51796,65765.8659217877,-13970
16,HUTCHINSON COUNTY,SPRING CREEK ISD,83,Rural,under 300,58540,65765.8659217877,-7226
15,IRION COUNTY,IRION COUNTY ISD,337,Non-metropolitan Fast Growing,under 1600,54320,45000,9320
09,JACK COUNTY,BRYSON ISD,251,Rural,under 300,56970,57724.106324473,-754
09,JACK COUNTY,JACKSBORO ISD,1082,Non-metropolitan Stable,under 1600,60143,57724.106324473,2419
09,JACK COUNTY,PERRIN-WHITT CISD,322,Rural,under 1600,63001,57724.106324473,5277
03,JACKSON COUNTY,EDNA ISD,1576,Non-metropolitan Stable,under 1600,48915,50000,-1085
03,JACKSON COUNTY,GANADO ISD,696,Rural,under 1600,54549,50000,4549
03,JACKSON COUNTY,INDUSTRIAL ISD,1170,Non-metropolitan Stable,under 1600,55604,50000,5604
05,JASPER COUNTY,BROOKELAND ISD,371,Rural,under 1600,53518,55871.6017255451,-2354
05,JASPER COUNTY,BUNA ISD,1460,Non-metropolitan Stable,under 1600,56079,55871.6017255451,207
05,JASPER COUNTY,EVADALE ISD,384,Rural,under 1600,51536,55871.6017255451,-4336
05,JASPER COUNTY,JASPER ISD,2194,Independent Town,under 5000,56214,55871.6017255451,342
05,JASPER COUNTY,KIRBYVILLE CISD,1458,Non-metropolitan Stable,under 1600,56827,55871.6017255451,955
18,JEFF DAVIS COUNTY,FT DAVIS ISD,263,Rural,under 300,53683,45000,8683
18,JEFF DAVIS COUNTY,VALENTINE ISD,24,Rural,under 300,63243,45000,18243
05,JEFFERSON COUNTY,BEAUMONT ISD,16803,Other Central City,over 5000,52912,55380.3387107865,-2468
05,JEFFERSON COUNTY,HAMSHIRE-FANNETT ISD,2048,Other Central City Suburban,under 5000,46998,55380.3387107865,-8382
05,JEFFERSON COUNTY,NEDERLAND ISD,5279,Other Central City Suburban,over 5000,61663,55380.3387107865,6283
05,JEFFERSON COUNTY,PORT ARTHUR ISD,8155,Other Central City Suburban,over 5000,55858,55380.3387107865,478
05,JEFFERSON COUNTY,PORT NECHES-GROVES ISD,5364,Other Central City Suburban,over 5000,60319,55380.3387107865,4939
05,JEFFERSON COUNTY,SABINE PASS ISD,358,Rural,under 1600,56096,55380.3387107865,716
01,JIM HOGG COUNTY,JIM HOGG COUNTY ISD,1000,Non-metropolitan Stable,under 1600,61669,60000,1669
02,JIM WELLS COUNTY,ALICE ISD,4486,Independent Town,under 5000,59576,59911.7516648765,-336
02,JIM WELLS COUNTY,BEN BOLT-PALITO BLANCO ISD,455,Rural,under 1600,91766,59911.7516648765,31854
02,JIM WELLS COUNTY,LA GLORIA ISD,114,Rural,under 300,57086,59911.7516648765,-2826
02,JIM WELLS COUNTY,ORANGE GROVE ISD,1707,Non-metropolitan Stable,under 5000,55501,59911.7516648765,-4411
02,JIM WELLS COUNTY,PREMONT ISD,782,Non-metropolitan Fast Growing,under 1600,63366,59911.7516648765,3454
11,JOHNSON COUNTY,ALVARADO ISD,3782,Other Central City Suburban,under 5000,63517,69812.8820244743,-6296
11,JOHNSON COUNTY,BURLESON ISD,12718,Other Central City,over 5000,63952,69812.8820244743,-5861
11,JOHNSON COUNTY,CLEBURNE ISD,7082,Other Central City Suburban,over 5000,68523,69812.8820244743,-1290
11,JOHNSON COUNTY,GODLEY ISD,3002,Major Suburban,under 5000,59565,69812.8820244743,-10248
11,JOHNSON COUNTY,GRANDVIEW ISD,1428,Non-metropolitan Stable,under 1600,59896,69812.8820244743,-9917
11,JOHNSON COUNTY,JOSHUA ISD,6020,Other Central City Suburban,over 5000,65766,69812.8820244743,-4047
11,JOHNSON COUNTY,KEENE ISD,1097,Non-metropolitan Stable,under 1600,57989,69812.8820244743,-11824
11,JOHNSON COUNTY,RIO VISTA ISD,967,Non-metropolitan Fast Growing,under 1600,58072,69812.8820244743,-11741
11,JOHNSON COUNTY,VENUS ISD,2308,Other Central City Suburban,under 5000,60864,69812.8820244743,-8949
14,JONES COUNTY,ANSON ISD,733,Rural,under 1600,53407,50850.44,2557
14,JONES COUNTY,HAMLIN COLLEGIATE ISD,399,Rural,under 1600,49098,50850.44,-1752
14,JONES COUNTY,HAWLEY ISD,834,Rural,under 1600,50127,50850.44,-723
14,JONES COUNTY,LUEDERS-AVOCA ISD,104,Rural,under 300,46384,50850.44,-4466
14,JONES COUNTY,STAMFORD ISD,583,Rural,under 1600,53161,50850.44,2311
20,KARNES COUNTY,FALLS CITY ISD,436,Non-metropolitan Fast Growing,under 1600,59753,60000,-247
20,KARNES COUNTY,KARNES CITY ISD,1031,Non-metropolitan Fast Growing,under 1600,61901,60000,1901
03,KARNES COUNTY,KENEDY ISD,770,Rural,under 1600,58026,60000,-1974
03,KARNES COUNTY,RUNGE ISD,196,Rural,under 300,47469,60000,-12531
10,KAUFMAN COUNTY,CRANDALL ISD,6443,Major Suburban,over 5000,58582,75000,-16418
10,KAUFMAN COUNTY,FORNEY ISD,17002,Major Suburban,over 5000,61038,75000,-13962
10,KAUFMAN COUNTY,KAUFMAN ISD,4378,Other Central City Suburban,under 5000,60690,75000,-14310
10,KAUFMAN COUNTY,KEMP ISD,1967,Non-metropolitan Stable,under 5000,59421,75000,-15579
10,KAUFMAN COUNTY,MABANK ISD,4066,Other Central City Suburban,under 5000,56232,75000,-18768
10,KAUFMAN COUNTY,SCURRY-ROSSER ISD,1046,Non-metropolitan Stable,under 1600,54420,75000,-20580
10,KAUFMAN COUNTY,TERRELL ISD,5255,Other Central City Suburban,over 5000,67138,75000,-7862
20,KENDALL COUNTY,BOERNE ISD,10910,Major Suburban,over 5000,59514,68308.0679603277,-8794
20,KENDALL COUNTY,COMFORT ISD,1090,Non-metropolitan Stable,under 1600,58454,68308.0679603277,-9854
02,KENEDY COUNTY,KENEDY COUNTY WIDE CSD,130,Rural,under 300,64808,60000,4808
17,KENT COUNTY,JAYTON-GIRARD ISD,177,Rural,under 300,61180,60000,1180
20,KERR COUNTY,CENTER POINT ISD,534,Rural,under 1600,58317,50000,8317
15,KERR COUNTY,DIVIDE ISD,35,Rural,under 300,53478,50000,3478
20,KERR COUNTY,HUNT ISD,200,Rural,under 300,63796,50000,13796
20,KERR COUNTY,INGRAM ISD,1300,Non-metropolitan Stable,under 1600,58647,50000,8647
20,KERR COUNTY,KERRVILLE ISD,4689,Independent Town,under 5000,58942,50000,8942
15,KIMBLE COUNTY,JUNCTION ISD,589,Rural,under 1600,50294,50000,294
17,KING COUNTY,GUTHRIE CSD,98,Rural,under 300,65328,50000,15328
20,KINNEY COUNTY,BRACKETT ISD,532,Rural,under 1600,52162,60899.1276252019,-8737
02,KLEBERG COUNTY,KINGSVILLE ISD,2603,Independent Town,under 5000,57312,50000,7312
02,KLEBERG COUNTY,RICARDO ISD,657,Rural,under 1600,64390,50000,14390
02,KLEBERG COUNTY,RIVIERA ISD,477,Rural,under 1600,56217,50000,6217
02,KLEBERG COUNTY,SANTA GERTRUDIS ISD,809,Rural,under 1600,60995,50000,10995
09,KNOX COUNTY,BENJAMIN ISD,104,Rural,under 300,58592,54982.1664766249,3610
09,KNOX COUNTY,KNOX CITY-O'BRIEN CISD,200,Rural,under 300,52471,54982.1664766249,-2511
09,KNOX COUNTY,MUNDAY CISD,411,Rural,under 1600,56534,54982.1664766249,1552
20,LA SALLE COUNTY,COTULLA ISD,1143,Non-metropolitan Stable,under 1600,49049,45000,4049
08,LAMAR COUNTY,CHISUM ISD,1195,Non-metropolitan Stable,under 1600,54491,50000,4491
08,LAMAR COUNTY,NORTH LAMAR ISD,2372,Non-metropolitan Stable,under 5000,51202,50000,1202
08,LAMAR COUNTY,PARIS ISD,3868,Independent Town,under 5000,52061,50000,2061
08,LAMAR COUNTY,PRAIRILAND ISD,1119,Non-metropolitan Stable,under 1600,51295,50000,1295
17,LAMB COUNTY,AMHERST ISD,114,Rural,under 300,45016,57620.3327391563,-12604
17,LAMB COUNTY,LITTLEFIELD ISD,1198,Non-metropolitan Stable,under 1600,48664,57620.3327391563,-8956
17,LAMB COUNTY,OLTON ISD,619,Rural,under 1600,48577,57620.3327391563,-9043
17,LAMB COUNTY,SPRINGLAKE-EARTH ISD,265,Rural,under 300,52387,57620.3327391563,-5233
17,LAMB COUNTY,SUDAN ISD,466,Rural,under 1600,60097,57620.3327391563,2477
12,LAMPASAS COUNTY,LAMPASAS ISD,3560,Other Central City Suburban,under 5000,57754,50000,7754
12,LAMPASAS COUNTY,LOMETA ISD,320,Rural,under 1600,56028,50000,6028
03,LAVACA COUNTY,EZZELL ISD,130,Rural,under 300,55843,50000,5843
03,LAVACA COUNTY,HALLETTSVILLE ISD,1168,Non-metropolitan Stable,under 1600,57051,50000,7051
03,LAVACA COUNTY,MOULTON ISD,293,Rural,under 300,58435,50000,8435
03,LAVACA COUNTY,SHINER ISD,717,Rural,under 1600,60552,50000,10552
03,LAVACA COUNTY,SWEET HOME ISD,148,Rural,under 300,49654,50000,-346
03,LAVACA COUNTY,VYSEHRAD ISD,88,Rural,under 300,56223,50000,6223
13,LEE COUNTY,DIME BOX ISD,150,Rural,under 300,54999,60000,-5001
13,LEE COUNTY,GIDDINGS ISD,1893,Other Central City Suburban,under 5000,55034,60000,-4966
13,LEE COUNTY,LEXINGTON ISD,1066,Other Central City Suburban,under 1600,55093,60000,-4907
06,LEON COUNTY,BUFFALO ISD,1027,Non-metropolitan Stable,under 1600,55180,52781.9753205904,2398
06,LEON COUNTY,CENTERVILLE ISD,823,Rural,under 1600,59314,52781.9753205904,6532
06,LEON COUNTY,LEON ISD,751,Rural,under 1600,65937,52781.9753205904,13155
06,LEON COUNTY,NORMANGEE ISD,649,Rural,under 1600,58475,52781.9753205904,5693
06,LEON COUNTY,OAKWOOD ISD,221,Rural,under 300,53188,52781.9753205904,406
04,LIBERTY COUNTY,CLEVELAND ISD,11970,Other Central City,over 5000,62353,60000,2353
04,LIBERTY COUNTY,DAYTON ISD,5787,Other Central City Suburban,over 5000,60470,60000,470
04,LIBERTY COUNTY,DEVERS ISD,185,Rural,under 300,81745,60000,21745
05,LIBERTY COUNTY,HARDIN ISD,1239,Non-metropolitan Stable,under 1600,58968,60000,-1032
05,LIBERTY COUNTY,HULL-DAISETTA ISD,416,Rural,under 1600,57264,60000,-2736
05,LIBERTY COUNTY,LIBERTY ISD,2424,Other Central City Suburban,under 5000,60958,60000,958
04,LIBERTY COUNTY,TARKINGTON ISD,1928,Other Central City Suburban,under 5000,62257,60000,2257
12,LIMESTONE COUNTY,COOLIDGE ISD,295,Rural,under 300,58230,50000,8230
12,LIMESTONE COUNTY,GROESBECK ISD,1543,Non-metropolitan Stable,under 1600,55188,50000,5188
12,LIMESTONE COUNTY,MEXIA ISD,1832,Non-metropolitan Stable,under 5000,56944,50000,6944
16,LIPSCOMB COUNTY,BOOKER ISD,332,Rural,under 1600,50200,56657.3609756098,-6457
16,LIPSCOMB COUNTY,DARROUZETT ISD,104,Rural,under 300,44846,56657.3609756098,-11811
16,LIPSCOMB COUNTY,FOLLETT ISD,173,Rural,under 300,45337,56657.3609756098,-11320
02,LIVE OAK COUNTY,GEORGE WEST ISD,1059,Non-metropolitan Stable,under 1600,59516,50000,9516
02,LIVE OAK COUNTY,THREE RIVERS ISD,590,Rural,under 1600,60146,50000,10146
13,LLANO COUNTY,LLANO ISD,1942,Non-metropolitan Stable,under 5000,58093,50000,8093
17,LUBBOCK COUNTY,FRENSHIP ISD,11581,Other Central City Suburban,over 5000,54777,50000,4777
17,LUBBOCK COUNTY,IDALOU ISD,976,Other Central City Suburban,under 1600,51084,50000,1084
17,LUBBOCK COUNTY,LUBBOCK ISD,24329,Other Central City,over 5000,52287,50000,2287
17,LUBBOCK COUNTY,LUBBOCK-COOPER ISD,7855,Other Central City Suburban,over 5000,52991,50000,2991
17,LUBBOCK COUNTY,NEW DEAL ISD,765,Rural,under 1600,50668,50000,668
17,LUBBOCK COUNTY,ROOSEVELT ISD,1122,Other Central City Suburban,under 1600,49842,50000,-158
17,LUBBOCK COUNTY,SHALLOWATER ISD,1739,Other Central City Suburban,under 5000,52136,50000,2136
17,LUBBOCK COUNTY,SLATON ISD,1247,Other Central City Suburban,under 1600,57464,50000,7464
17,LYNN COUNTY,NEW HOME ISD,671,Non-metropolitan Fast Growing,under 1600,50391,50000,391
